nodename,idname,imagename,filename,filenamemedium,filenamethumb,lakecode,lakename,magnification,notes,section,sitehole,submittedby,year,taxon,commonname,family,imageuitags,description,distinguishingfeatures,nodeuitags,lighttypename
"Ostracode","Arthropod","10-16 ostracode shell fragment xp.jpg","10-16_ostracode_shell_fragment_xp_JS.jpg","10-16_ostracode_shell_fragment_xp_JS-600.jpg","10-16_ostracode_shell_fragment_xp_JS-200s.jpg",\N,"NF-II-2",\N,"shell fragment in xp, ostracode ornamentation",\N,\N,"Joe Smoot",\N,\N,\N,\N,\N,\N,\N,\N,"Cross-Polarized Light"
"Diatomaceous carbonate mud","Lithofacies","1001_q4_01_cp.jpg","1001_q4_01_cp.jpg","1001_q4_01_cp-600.jpg","1001_q4_01_cp-200s.jpg","MCC","Lake McCarrons",\N,\N,\N,\N,\N,"2011",\N,\N,\N,"rhombic",\N,\N,\N,"Cross-Polarized Light"
"Diatomaceous carbonate mud","Lithofacies","1001_q4_01_pp.jpg","1001_q4_01_pp.jpg","1001_q4_01_pp-600.jpg","1001_q4_01_pp-200s.jpg","MCC","Lake McCarrons",\N,\N,\N,\N,\N,"2011",\N,\N,\N,"rhombic",\N,\N,\N,"Plane-Polarized Light"
"Organic-rich carbonate mud with pyrite","Lithofacies","1001_q6_01_cp.jpg","1001_q6_01_cp.jpg","1001_q6_01_cp-600.jpg","1001_q6_01_cp-200s.jpg","MCC","Lake McCarrons",\N,\N,\N,\N,\N,"2011",\N,\N,\N,\N,\N,\N,\N,"Cross-Polarized Light"
"Organic-rich carbonate mud with pyrite","Lithofacies","1001_q6_01_pp.jpg","1001_q6_01_pp.jpg","1001_q6_01_pp-600.jpg","1001_q6_01_pp-200s.jpg","MCC","Lake McCarrons",\N,\N,\N,\N,\N,"2011",\N,\N,\N,\N,\N,\N,\N,"Plane-Polarized Light"
"Calcareous silt","Lithofacies","1001_q7_02_cp.jpg","1001_q7_02_cp.jpg","1001_q7_02_cp-600.jpg","1001_q7_02_cp-200s.jpg","MCC","Lake McCarrons",\N,"with pyrite",\N,\N,\N,"2011",\N,\N,\N,\N,\N,\N,\N,"Cross-Polarized Light"
"Calcareous silt","Lithofacies","1001_q7_02_pp.jpg","1001_q7_02_pp.jpg","1001_q7_02_pp-600.jpg","1001_q7_02_pp-200s.jpg","MCC","Lake McCarrons",\N,"with pyrite",\N,\N,"Amy Myrbo","2011",\N,\N,\N,"pyrite",\N,\N,\N,"Plane-Polarized Light"
"Pollen","Plant","A2809tmi","A2809tmi.jpg","A2809tmi-600.jpg","A2809tmi-200s.jpg","lake","lake","40x",\N,\N,"1.0","cs","2012","Juglans nigra L.",\N,\N,\N,\N,\N,\N,"Plane-Polarized Light"
"Pollen","Plant","abies_balsamea_bodybladdergrade_jm_edit","abies_balsamea_bodybladdergrade_jm_edit.jpg","abies_balsamea_bodybladdergrade_jm_edit-600.jpg","abies_balsamea_bodybladdergrade_jm_edit-200s.jpg",\N,"Cushing Reference Collection",\N,"texture grade from body to bladder",\N,\N,"Jimmy Marty",\N,"Abies balsamea (L.) Mill.",\N,\N,\N,\N,\N,\N,"Plane-Polarized Light"
"Pollen","Plant","abies_balsamea_cap_jm_edit","abies_balsamea_cap_jm_edit.jpg","abies_balsamea_cap_jm_edit-600.jpg","abies_balsamea_cap_jm_edit-200s.jpg",\N,"Cushing Reference Collection",\N,"cap",\N,\N,"Jimmy Marty",\N,"Abies balsamea (L.) Mill.",\N,\N,\N,\N,\N,\N,"Plane-Polarized Light"
"Plant Macrofossil","Plant","Abies_balsamea_needle_1398.jpg","Abies_balsamea_needle_1398.jpg","Abies_balsamea_needle_1398-600.jpg","Abies_balsamea_needle_1398-200s.jpg",\N,"St.Louis County, MN",\N,"Abaxial (bottom) surface pictured on top, adaxial (top) surface below. Base of needle on righthand side of photograph. Note blunt tip w/small notch. Flat in cross section, twisted at base. May be 12-25 mm long.",\N,\N,"Jimmy Marty",\N,"Abies balsamea (L.) Miller","balsam fir ","Pinaceae","leaf needle terrestrial dateable linear blunt emarginate",\N,\N,\N,"Reflected Light"
"Diatom","Algae","Acanthoceras_spores_DIC100xME.jpg","Acanthoceras_spores_DIC100xME.jpg","Acanthoceras_spores_DIC100xME-600.jpg","Acanthoceras_spores_DIC100xME-200s.jpg",\N,"Spirit Lake, Iowa","100x","These are resting spores produced by the freshwater diatom Acanthoceras.  The heavily silicified spores can be found in sediments; usually the lightly silicified vegetative valves of this diatom are not present. For more information see Edlund & Stoermer (1993. JOPL 9:55-61).",\N,\N,"Mark Edlund",\N,"diatom, Acanthoceras resting spores",\N,\N,"siliceous transparent cyst spore heavily-silicified comma-shaped scalloped bipartite","Transparent colorless to slightly brown or red tinted.  Nonpleochroic. Isotropic. Many different shapes; in two-dimensional view these may appear as circles, rectangles of varying aspect ratios, canoe-shapes, banana-shapes, etc. moderate relief.  Occur in essentially all lakes and rivers, but may not be preserved in sediments due to high- or low-pH conditions or silica undersaturation of bottom waters.","Isotropic Patterned","circular transparent colorless rice-shape","Plane-Polarized Light"
"Plant Macrofossil","Plant","Acer_negundo_seed_kvz_jm_edit","Acer_negundo_seed_kvz_jm_edit.jpg","Acer_negundo_seed_kvz_jm_edit-600.jpg","Acer_negundo_seed_kvz_jm_edit-200s.jpg",\N,"USA",\N,"fruit 3-5 cm long; wing may be straight or incurved; seed ~1.2 cm long",\N,\N,"Jimmy Marty",\N,"Acer negundo L.","box elder maple","Sapindaceae","fruit terrestrial dateable winged",\N,\N,\N,"Reflected Light"
"Plant Macrofossil","Plant","Acer_rubrum_seed_51_jm_edit","Acer_rubrum_seed_51_jm_edit.jpg","Acer_rubrum_seed_51_jm_edit-600.jpg","Acer_rubrum_seed_51_jm_edit-200s.jpg",\N,"Johnson County, IA",\N,"fruit 2-4 cm; wing slightly divergent to 50-60 degrees",\N,\N,"Jimmy Marty",\N,"Acer rubrum L.","red maple","Sapindaceae","fruit seed terrestrial dateable",\N,\N,\N,"Reflected Light"
"Pollen","Plant","acer_rubrum_texture_jm_edit","acer_rubrum_texture_jm_edit.jpg","acer_rubrum_texture_jm_edit-600.jpg","acer_rubrum_texture_jm_edit-200s.jpg",\N,"Cushing Reference Collection",\N,"surface texture",\N,\N,"Jimmy Marty",\N,"Acer rubrum L.",\N,\N,\N,\N,\N,\N,"Plane-Polarized Light"
"Pollen","Plant","acer_rubrum_wall_jm_edit","acer_rubrum_wall_jm_edit.jpg","acer_rubrum_wall_jm_edit-600.jpg","acer_rubrum_wall_jm_edit-200s.jpg",\N,"Cushing Reference Collection",\N,"wall",\N,\N,"Jimmy Marty",\N,"Acer rubrum L.",\N,\N,\N,\N,\N,\N,"Plane-Polarized Light"
"Plant Macrofossil","Plant","Acer_saccharinum_seed_athens_jm_edit","Acer_saccharinum_seed_athens_jm_edit.jpg","Acer_saccharinum_seed_athens_jm_edit-600.jpg","Acer_saccharinum_seed_athens_jm_edit-200s.jpg",\N,"USA",\N,"fruit 3-5 cm long; seeds 5-10 mm in diameter",\N,\N,"Jimmy Marty",\N,"Acer saccharinum L.","silver maple","Sapindaceae","fruit seed terrestrial dateable",\N,\N,\N,"Reflected Light"
"Plant Macrofossil","Plant","Acer_saccharum_bud_scales_3213_jm_edit","Acer_saccharum_bud_scales_3213_jm_edit.jpg","Acer_saccharum_bud_scales_3213_jm_edit-600.jpg","Acer_saccharum_bud_scales_3213_jm_edit-200s.jpg",\N,"Baker property, Cedar County, IA",\N,"pointy, brown colored",\N,\N,"Jimmy Marty",\N,"Acer saccharum Marshall","sugar maple","Sapindaceae","bud-scale terrestrial dateable",\N,\N,\N,"Reflected Light"
"Plant Macrofossil","Plant","Acer_saccharum_twig_3213_jm_edit","Acer_saccharum_twig_3213_jm_edit.jpg","Acer_saccharum_twig_3213_jm_edit-600.jpg","Acer_saccharum_twig_3213_jm_edit-200s.jpg",\N,"Baker property, Cedar County, IA",\N,"opposite bud scars, glabrous (shiny); lenticels (white marks)",\N,\N,"Jimmy Marty",\N,"Acer saccharum Marshall","sugar maple","Sapindaceae","twig terrestrial dateable",\N,\N,\N,"Reflected Light"
"Plant Macrofossil","Plant","Agastache_foeniculum_seed_2073_jm_edit","Agastache_foeniculum_seed_2073_jm_edit.jpg","Agastache_foeniculum_seed_2073_jm_edit-600.jpg","Agastache_foeniculum_seed_2073_jm_edit-200s.jpg",\N,"Johnson County, IA",\N,"oblong rounded-triangular, 1-1.5 mm long; surface ridged, with bristles clustered at top and along margins",\N,\N,"Jimmy Marty",\N,"Agastache foeniculum (Pursh) Kuntze","anise hyssop","Lamiaceae","seed terrestrial dateable oblong obovate ridged bristled",\N,\N,\N,"Reflected Light"
"Algal organic matter","Algae","algal.jpg","algal.jpg","algal-600.jpg","algal-200s.jpg",\N,\N,\N,\N,\N,\N,"Amy Myrbo",\N,\N,\N,\N,"brown amorphous",\N,\N,\N,"Cross-Polarized Light"
"Algal organic matter","Algae","algal0001.jpg","algal0001.jpg","algal0001-600.jpg","algal0001-200s.jpg",\N,\N,\N,\N,\N,\N,"Amy Myrbo",\N,\N,\N,\N,"brown amorphous",\N,\N,\N,"Cross-Polarized Light"
"Algal organic matter","Algae","algal0002.jpg","algal0002.jpg","algal0002-600.jpg","algal0002-200s.jpg",\N,\N,\N,\N,\N,\N,"Amy Myrbo",\N,\N,\N,\N,"brown amorphous",\N,\N,\N,"Cross-Polarized Light"
"Plant Macrofossil","Plant","Alisma_subcordatum_seed_JohnsonCo_1975_jm","Alisma_subcordatum_seed_JohnsonCo_1975_jm.jpg","Alisma_subcordatum_seed_JohnsonCo_1975_jm-600.jpg","Alisma_subcordatum_seed_JohnsonCo_1975_jm-200s.jpg",\N,"Johnson County, IA","8.0","elliptic, 1.5-3 mm long; differentiated from Sagittaria by marginal groove and lack of beak",\N,\N,"Jimmy Marty",\N,"Alisma subcordatum L.","water plantain","Alismaceae","emergent date-with-caution seed grooved striate",\N,\N,\N,"Reflected Light"
"Pollen","Plant","alnus_crispa_arches_jm_2_edit_open","alnus_crispa_arches_jm_2_edit_open.jpg","alnus_crispa_arches_jm_2_edit_open-600.jpg","alnus_crispa_arches_jm_2_edit_open-200s.jpg",\N,"Cushing Reference Collection",\N,"arches",\N,\N,"Jimmy Marty",\N,"Alnus crispa (Aiton) Pursh",\N,\N,\N,\N,\N,\N,"Plane-Polarized Light"
"Pollen","Plant","alnus_crispa_arches_jm_edit","alnus_crispa_arches_jm_edit.jpg","alnus_crispa_arches_jm_edit-600.jpg","alnus_crispa_arches_jm_edit-200s.jpg",\N,"Cushing Reference Collection",\N,"arches",\N,\N,"Jimmy Marty",\N,"Alnus crispa (Aiton) Pursh",\N,\N,\N,\N,\N,\N,"Plane-Polarized Light"
"Plant Macrofossil","Plant","Alnus_incana_catkin_bracht_2144_jm_edit.jpg","Alnus_incana_catkin_bracht_2144_jm_edit.jpg","Alnus_incana_catkin_bracht_2144_jm_edit-600.jpg","Alnus_incana_catkin_bracht_2144_jm_edit-200s.jpg",\N,"gravel bar in Yukon River at Whitehorse, Yukon, Canada",\N,"very weakly 5 lobed",\N,\N,"Jimmy Marty",\N,"Alnus incana (L.) Moench","speckled alder","Betulaceae","catkin-bract terrestrial lobed",\N,\N,\N,"Reflected Light"
"Plant Macrofossil","Plant","Alnus_incana_seed_70_jm_edit.jpg","Alnus_incana_seed_70_jm_edit.jpg","Alnus_incana_seed_70_jm_edit-600.jpg","Alnus_incana_seed_70_jm_edit-200s.jpg",\N,"gravel bar in Yukon River at Whitehorse, Yukon, Canada",\N,"winged on margins, narrower than body; elliptic to obovate, irregular shaped; 2-4 mm long; wings may be damaged/missing in macrofossil samples.",\N,\N,"Jimmy Marty",\N,"Alnus incana (L.) Moench","speckled alder","Betulaceae","seed terrestrial style-base-persistent",\N,\N,\N,"Reflected Light"
"Pollen","Plant","alnus_rugosa_arches_jm_2_edit","alnus_rugosa_arches_jm_2_edit.jpg","alnus_rugosa_arches_jm_2_edit-600.jpg","alnus_rugosa_arches_jm_2_edit-200s.jpg",\N,"Cushing Reference Collection",\N,"arches",\N,\N,"Jimmy Marty",\N,"Alnus rugosa (Du Roi) Spreng.",\N,\N,\N,\N,\N,\N,"Plane-Polarized Light"
"Pollen","Plant","alnus_rugosa_porearches_jm_edit","alnus_rugosa_porearches_jm_edit.jpg","alnus_rugosa_porearches_jm_edit-600.jpg","alnus_rugosa_porearches_jm_edit-200s.jpg",\N,"Cushing Reference Collection",\N,"arches",\N,\N,"Jimmy Marty",\N,"Alnus rugosa (Du Roi) Spreng.",\N,\N,\N,\N,\N,\N,"Plane-Polarized Light"
"Pollen","Plant","alnus_rugosa_pores_jm_edit","alnus_rugosa_pores_jm_edit.jpg","alnus_rugosa_pores_jm_edit-600.jpg","alnus_rugosa_pores_jm_edit-200s.jpg",\N,"Cushing Reference Collection",\N,"pores",\N,\N,"Jimmy Marty",\N,"Alnus rugosa (Du Roi) Spreng.",\N,\N,\N,\N,\N,\N,"Plane-Polarized Light"
"Plant Macrofossil","Plant","Alnus_serrulata_catkin_bract_3076_jm_edit","Alnus_serrulata_catkin_bract_3076_jm_edit.jpg","Alnus_serrulata_catkin_bract_3076_jm_edit-600.jpg","Alnus_serrulata_catkin_bract_3076_jm_edit-200s.jpg",\N,"Huntsville County, AL",\N,"weakly 5 lobed, with center lobe being most prominent; may be dotted with resin",\N,\N,"Jimmy Marty",\N,"Alnus serrulata (Aiton) Willd.","alder","Betulaceae","catkin-bract terrestrial dateable lobed resinous",\N,\N,\N,"Reflected Light"
"Plant Macrofossil","Plant","Alnus_serrulata_seed_3076_jm_edit","Alnus_serrulata_seed_3076_jm_edit.jpg","Alnus_serrulata_seed_3076_jm_edit-600.jpg","Alnus_serrulata_seed_3076_jm_edit-200s.jpg",\N,"Huntsville County, AL",\N,"obovoid, flattened; narrowly winged on margins, 2-3 mm long",\N,\N,"Jimmy Marty",\N,"Alnus serrulata (Aiton) Willd.","alder","Betulaceae","seed terrestrial dateable style-base-persistent",\N,\N,\N,"Reflected Light"
"Plant Macrofossil","Plant","Alnus_viridis_catkin_bracht_2970_jm_edit.jpg","Alnus_viridis_catkin_bracht_2970_jm_edit.jpg","Alnus_viridis_catkin_bracht_2970_jm_edit-600.jpg","Alnus_viridis_catkin_bracht_2970_jm_edit-200s.jpg",\N,"edge of Iron Lake, Bayfield County, WI",\N,"unlobed",\N,\N,"Jimmy Marty",\N,"Alnus viridis (Villars) Lam.","mountain alder","Betulaceae","catkin-bract dateable terrestrial",\N,\N,\N,"Reflected Light"
"Plant Macrofossil","Plant","Alnus_viridis_seed_2970_jm_edit.jpg","Alnus_viridis_seed_2970_jm_edit.jpg","Alnus_viridis_seed_2970_jm_edit-600.jpg","Alnus_viridis_seed_2970_jm_edit-200s.jpg",\N,"edge of Iron Lake, Bayfield County, WI",\N,"elliptic, thinly winged, 2-3 mm long; styles persistent; wings may be damaged/missing in subfossil samples.",\N,\N,"Jimmy Marty",\N,"Alnus viridis (Villars) Lam.","mountain alder","Betulaceae","seed dateable terrestrial elliptic winged stigmas-persistent",\N,\N,\N,"Reflected Light"
"Pollen","Plant","ambrosia_trifida_colpi_jm_edit","ambrosia_trifida_colpi_jm_edit.jpg","ambrosia_trifida_colpi_jm_edit-600.jpg","ambrosia_trifida_colpi_jm_edit-200s.jpg",\N,"Cushing Reference Collection",\N,"colpi",\N,\N,"Jimmy Marty",\N,"Ambrosia trifida L.",\N,\N,\N,\N,\N,\N,"Plane-Polarized Light"
"Pollen","Plant","ambrosia_trifida_edge_jm_edit","ambrosia_trifida_edge_jm_edit.jpg","ambrosia_trifida_edge_jm_edit-600.jpg","ambrosia_trifida_edge_jm_edit-200s.jpg",\N,"Cushing Reference Collection",\N,"wall",\N,\N,"Jimmy Marty",\N,"Ambrosia trifida L.",\N,\N,\N,\N,\N,\N,"Plane-Polarized Light"
"Pollen","Plant","ambrosia_trifida_texture_jm_2_edit","ambrosia_trifida_texture_jm_2_edit.jpg","ambrosia_trifida_texture_jm_2_edit-600.jpg","ambrosia_trifida_texture_jm_2_edit-200s.jpg",\N,"Cushing Reference Collection",\N,"surface texture",\N,\N,"Jimmy Marty",\N,"Ambrosia trifida L.",\N,\N,\N,\N,\N,\N,"Plane-Polarized Light"
"Pollen","Plant","ambrosia_trifida_texture_jm_3_edit","ambrosia_trifida_texture_jm_3_edit.jpg","ambrosia_trifida_texture_jm_3_edit-600.jpg","ambrosia_trifida_texture_jm_3_edit-200s.jpg",\N,"Cushing Reference Collection",\N,"surface texture",\N,\N,"Jimmy Marty",\N,"Ambrosia trifida L.",\N,\N,\N,\N,\N,\N,"Plane-Polarized Light"
"Amphibole","Mineral","Amphibole_1_GR.jpg","Amphibole_1_GR.jpg","Amphibole_1_GR-600.jpg","Amphibole_1_GR-200s.jpg",\N,"Southeast flank of Nicaragua Rise, Caribbean Sea (15 52.72 N, 74 36.47 W)",\N,"Rounded hornblende prism, pleochroic in greens, prismatic crystal-fragment",\N,\N,"Guy Rothwell",\N,\N,\N,\N,\N,"Transparent colorless to green, brown, red, yellow, depending on mineralogy within the amphibole group.  Strongly pleochroic. Moderate birefringence may be masked by color. Anhedral to euhedral prismatic grains. High relief. Hornblende-series minerals the most common detrital amphiboles.","Pleochroic Subhedral Prismatic","ferromagnesian high-relief green silicate transparent green","Plane-Polarized Light"
"Amphibole","Mineral","Amphibole_2_GR.jpg","Amphibole_2_GR.jpg","Amphibole_2_GR-600.jpg","Amphibole_2_GR-200s.jpg",\N,\N,\N,"Rounded hornblende prism and crystal fragment, pleochroic in greens, prismatic crystal-fragment",\N,\N,"Guy Rothwell",\N,\N,\N,\N,\N,"Transparent colorless to green, brown, red, yellow, depending on mineralogy within the amphibole group.  Strongly pleochroic. Moderate birefringence may be masked by color. Anhedral to euhedral prismatic grains. High relief. Hornblende-series minerals the most common detrital amphiboles.","Pleochroic Subhedral Prismatic","ferromagnesian high-relief green silicate transparent green","Plane-Polarized Light"
"Amphibole","Mineral","Amphibole_5_GR.jpg","Amphibole_5_GR.jpg","Amphibole_5_GR-600.jpg","Amphibole_5_GR-200s.jpg",\N,\N,"x10","AE 326 100 + 150, amphibole broken crystals cleavage fragments pleochroic",\N,\N,"Guy Rothwell",\N,\N,\N,\N,\N,"Transparent colorless to green, brown, red, yellow, depending on mineralogy within the amphibole group.  Strongly pleochroic. Moderate birefringence may be masked by color. Anhedral to euhedral prismatic grains. High relief. Hornblende-series minerals the most common detrital amphiboles.","Pleochroic Subhedral Prismatic","ferromagnesian high-relief green silicate transparent green","Plane-Polarized Light"
"Amphibole","Mineral","Amphibole_6_GR.jpg","Amphibole_6_GR.jpg","Amphibole_6_GR-600.jpg","Amphibole_6_GR-200s.jpg",\N,\N,"x10","AE 326 100 + 150, amphibole broken crystals cleavage fragments pleochroic",\N,\N,"Guy Rothwell",\N,\N,\N,\N,\N,"Transparent colorless to green, brown, red, yellow, depending on mineralogy within the amphibole group.  Strongly pleochroic. Moderate birefringence may be masked by color. Anhedral to euhedral prismatic grains. High relief. Hornblende-series minerals the most common detrital amphiboles.","Pleochroic Subhedral Prismatic","ferromagnesian high-relief green silicate transparent green","Plane-Polarized Light"
"Amphibole","Mineral","Amphibole_7_GR.jpg","Amphibole_7_GR.jpg","Amphibole_7_GR-600.jpg","Amphibole_7_GR-200s.jpg",\N,\N,"x10","AE 326 100 + 150, amphibole broken crystals cleavage fragments pleochroic",\N,\N,"Guy Rothwell",\N,\N,\N,\N,\N,"Transparent colorless to green, brown, red, yellow, depending on mineralogy within the amphibole group.  Strongly pleochroic. Moderate birefringence may be masked by color. Anhedral to euhedral prismatic grains. High relief. Hornblende-series minerals the most common detrital amphiboles.","Pleochroic Subhedral Prismatic","ferromagnesian high-relief green silicate transparent green","Plane-Polarized Light"
"Amphibole","Mineral","Amphibole_8_GR.jpg","Amphibole_8_GR.jpg","Amphibole_8_GR-600.jpg","Amphibole_8_GR-200s.jpg",\N,\N,"x40","pleochroic in greens, amphibole broken crystals cleavage fragments pleochroic",\N,\N,"Guy Rothwell",\N,\N,\N,\N,\N,"Transparent colorless to green, brown, red, yellow, depending on mineralogy within the amphibole group.  Strongly pleochroic. Moderate birefringence may be masked by color. Anhedral to euhedral prismatic grains. High relief. Hornblende-series minerals the most common detrital amphiboles.","Pleochroic Subhedral Prismatic","ferromagnesian high-relief green silicate transparent green","Plane-Polarized Light"
"Plant Macrofossil","Plant","Andromeda_glaucophylla_fruit_3043_jm_edit","Andromeda_glaucophylla_fruit_3043_jm_edit.jpg","Andromeda_glaucophylla_fruit_3043_jm_edit-600.jpg","Andromeda_glaucophylla_fruit_3043_jm_edit-200s.jpg",\N,"Van Meer Bog, Alger County, MI",\N,"rounded, 5 sectioned capsule, ~5 mm wide; indented top; style persistent at top of capsule ",\N,\N,"Jimmy Marty",\N,"Andromeda glaucophlla Link","bog rosemary","Ericaceae","terrestrial dateable round ribbed globose indented style-persistent",\N,\N,\N,"Reflected Light"
"Plant Macrofossil","Plant","Andromeda_glaucophylla_leaf_3043_jm_edit","Andromeda_glaucophylla_leaf_3043_jm_edit.jpg","Andromeda_glaucophylla_leaf_3043_jm_edit-600.jpg","Andromeda_glaucophylla_leaf_3043_jm_edit-200s.jpg",\N,"Van Meer Bog, Alger County, MI",\N,"linear to narrowly oval, 2-5 cm long, 3-10 mm wide; sharp pointed with a small spine; leathery; margins may be rolled under abaxial (bottom) side of leaf (revolute)",\N,\N,"Jimmy Marty",\N,"Andromeda glaucophlla Link","bog rosemary","Ericaceae","leaf terrestrial dateable linear pointed revolute",\N,\N,\N,"Reflected Light"
"Plant Macrofossil","Plant","Andromeda_glaucophylla_seed_3043_jm_edit","Andromeda_glaucophylla_seed_3043_jm_edit.jpg","Andromeda_glaucophylla_seed_3043_jm_edit-600.jpg","Andromeda_glaucophylla_seed_3043_jm_edit-200s.jpg",\N,"Van Meer Bog, Alger County, MI",\N,"obovate-kidney shaped, 0.7-1.2 mm long",\N,\N,"Jimmy Marty",\N,"Andromeda glaucophlla Link","bog rosemary","Ericaceae","seed terrestrial dateable obovate reniform",\N,\N,\N,"Reflected Light"
"Plant Macrofossil","Plant","Anemone_canadensis_seed_1616_jm_edit.jpg","Anemone_canadensis_seed_1616_jm_edit.jpg","Anemone_canadensis_seed_1616_jm_edit-600.jpg","Anemone_canadensis_seed_1616_jm_edit-200s.jpg",\N,"U.S.A.",\N,"flat, obovate, 3-5 mm; long beak 2-4 mm long;  winged; wooly hairs",\N,\N,"Jimmy Marty",\N,"Anemone canadensis L.","canada anemone ","Ranunculaceae","seed terrestrial dateable beaked hairy winged pubescent rostrate style-persistent obovate",\N,\N,\N,"Reflected Light"
"Quartz","Mineral","Angular_quartz.jpg","Angular_quartz.jpg","Angular_quartz-600.jpg","Angular_quartz-200s.jpg",\N,\N,\N,"Field of poorly sorted angular quartz grains, anhedral",\N,\N,"Guy Rothwell",\N,\N,\N,\N,\N,"Transparent colorless; equant grains; cleavage absent. Grains larger than ~30um show higher order birefringence colors (dark orange, pink), while smaller grains appear white or gray in cross-polarized light. May appear pitted, or show opaque or reddish coatings visible in plane polarized or reflected light.   May be well-rounded where aeolian or fluvial transport contributes. Common mineral in detrital sediments and rock fragments.","Low-birefringence Equant","silicate Transparent Colorless Low-relief","Cross-Polarized Light"
"Apatite","Mineral","Apatite_01_pp_AB","Apatite_01_pp_AB.jpg","Apatite_01_pp_AB-600.jpg","Apatite_01_pp_AB-200s.jpg",\N,"Lake Malawi",\N,"apatite, euhedral, diagenesis, from light colored lamina of varve",\N,"2P","Andy Breckenridge","1998",\N,\N,\N,\N,"Usually transparent colorless. Nonpleochroic. Weak birefringence (white-gray). Prismatic, six-sided crystals may be euhedral or subhedral. Moderate relief. May occur as either detrital grains (derived from felsic igneous rocks) or authigenic/diagenetic crystals in phosphate-rich environments.","Prismatic Moderate-relief Colorless Transparent","low-birefringence anisotropic euhedral phosphate heavy-mineral","Plane-Polarized Light"
"Apatite","Mineral","Apatite_01_xp_AB","Apatite_01_xp_AB.jpg","Apatite_01_xp_AB-600.jpg","Apatite_01_xp_AB-200s.jpg",\N,"Lake Malawi",\N,"apatite, euhedral, diagenesis, from light colored lamina of varve",\N,"2P","Andy Breckenridge","1998",\N,\N,\N,\N,"Usually transparent colorless. Nonpleochroic. Weak birefringence (white-gray). Prismatic, six-sided crystals may be euhedral or subhedral. Moderate relief. May occur as either detrital grains (derived from felsic igneous rocks) or authigenic/diagenetic crystals in phosphate-rich environments.","Prismatic Moderate-relief Colorless Transparent","low-birefringence anisotropic euhedral phosphate heavy-mineral","Cross-Polarized Light"
"Apatite","Mineral","Apatite_1_MDS_cp.jpg","Apatite_1_MDS_cp.jpg","Apatite_1_MDS_cp-600.jpg","Apatite_1_MDS_cp-200s.jpg",\N,"Jones","400.0","occurrence in Mazama tephra, euhedral volcanic",\N,"A","Mark Shapley","1997",\N,\N,\N,\N,"Usually transparent colorless. Nonpleochroic. Weak birefringence (white-gray). Prismatic, six-sided crystals may be euhedral or subhedral. Moderate relief. May occur as either detrital grains (derived from felsic igneous rocks) or authigenic/diagenetic crystals in phosphate-rich environments.","Prismatic Moderate-relief Colorless Transparent","low-birefringence anisotropic euhedral phosphate heavy-mineral","Cross-Polarized Light"
"Apatite","Mineral","Apatite_1_MDS_pp.jpg","Apatite_1_MDS_pp.jpg","Apatite_1_MDS_pp-600.jpg","Apatite_1_MDS_pp-200s.jpg",\N,"Jones","400.0","occurrence in Mazama tephra, euhedral volcanic",\N,"A","Mark Shapley","1997",\N,\N,\N,\N,"Usually transparent colorless. Nonpleochroic. Weak birefringence (white-gray). Prismatic, six-sided crystals may be euhedral or subhedral. Moderate relief. May occur as either detrital grains (derived from felsic igneous rocks) or authigenic/diagenetic crystals in phosphate-rich environments.","Prismatic Moderate-relief Colorless Transparent","low-birefringence anisotropic euhedral phosphate heavy-mineral","Plane-Polarized Light"
"Insect","Arthropod","Appendage-03_JB","Appendage-03_JB.jpg","Appendage-03_JB-600.jpg","Appendage-03_JB-200s.jpg",\N,"Steele Lake","400.0","portion of insect leg",\N,\N,"Jordon Bright",\N,\N,\N,\N,"jointed amber leg ",\N,\N,\N,"Plane-Polarized Light"
"Plant Macrofossil","Plant","aquatic_moss_RIPO_jm_edit","aquatic_moss_RIPO_jm_edit.jpg","aquatic_moss_RIPO_jm_edit-600.jpg","aquatic_moss_RIPO_jm_edit-200s.jpg",\N,"Rice Portage Lake, Carlton County, MN",\N,"fragile, dark stem; foliar scars alternate, formed from basal remains leaves; leaves acuminate (tapering to a point) translucent",\N,\N,"Jimmy Marty",\N,"Bryopsida",\N,\N,"aquatic-moss submerged do-not-date acuminate tapered subfossilized",\N,\N,\N,"Reflected Light"
"Aragonite","Mineral","aragonite cumulus PL.jpg","aragonite_cumulus_PL_JS.jpg","aragonite_cumulus_PL_JS-600.jpg","aragonite_cumulus_PL_JS-200s.jpg",\N,"Pyramid","40x","high relief, needles, broken diatoms",\N,\N,"Joe Smoot","1997",\N,\N,\N,\N,"Transparent colorless. Nonpleochroic. Extreme birefringence. Distinguished by small (~10 um) acicular (needle-like) or rice-like grain morphology. Moderate relief, varying by direction. Twinning may be common.    Organisms such as pteropods, most mollusks, and some corals produce biogenic aragonite.  ","Rice-shape Acicular Elongate High-birefringence ","Carbonate salt transparent colorless","Plane-Polarized Light"
