nodename,idname,imagename,filename,filenamemedium,filenamethumb,lakecode,lakename,magnification,notes,section,sitehole,submittedby,year,taxon,commonname,family,imageuitags,description,distinguishingfeatures,nodeuitags,lighttypename
"Vivianite","Mineral","vivianite_pp_01.jpg","vivianite_pp_01.jpg","vivianite_pp_01-600.jpg","vivianite_pp_01-200s.jpg","TWIN","Twin","400x",\N,\N,\N,"Amy Myrbo","2011",\N,\N,\N,\N,"Blue in both plane and cross-polarized light. May occur in diagenetic sprays, euhedra, nodules, and coatings. Low birefringence. In core face, chalky white when reduced; bright blue when oxidized. Associated with organic matter, bones, teeth, seeds, and other environments with available phosphate and reduced iron. Commonly found in lacustrine and estuarine sediments. Not common in marine sediments. ","Blue Pleochroic","phosphate transparent","Plane-Polarized Light"
"Tephra","Lithofacies","Volcanic_glass_1_ppl.jpg","Volcanic_glass_1_ppl.jpg","Volcanic_glass_1_ppl-600.jpg","Volcanic_glass_1_ppl-200s.jpg",\N,\N,\N,"Field of volcanic glass shards showing a wide range of shard morphology, including semi-regular fragments packed with subparallel pipe vesicles and vesicular glass fragments and bubble wall shards, foraminifera and large biotite mica flake also in the field., volcanic-glass pyroclastic pipe-vesicles shards",\N,\N,"Guy Rothwell",\N,\N,\N,\N,\N,"Tephra, or volcanic ash, is a mixture of volcanic glass and crystalline grains derived from the same volcanic source.  A tephra unit in a core may be predominantly crystalline and coarse-grained at the base, grading upwards to finer, more glassy grains.  See volcanic glass for a detailed description and identification; crystalline components can be identified based on their optical mineralogical characteristics.","isotropic","volcanic-glass","Plane-Polarized Light"
"Volcanic Glass","Mineral","Volcanic_glass_2_ppl.jpg","Volcanic_glass_2_ppl.jpg","Volcanic_glass_2_ppl-600.jpg","Volcanic_glass_2_ppl-200s.jpg",\N,"Tyrrhenian Sea, Mediterranean",\N,"Field of volcanic glass shards showing a wide range of shard morphology, including semi-regular fragments packed with subparallel pipe vesicles and vesicular glass fragments and bubble wall shards, volcanic-glass pyroclastic pipe-vesicles shards",\N,\N,"Guy Rothwell",\N,\N,\N,\N,\N,"Transparent colorless to pale gray, green, or brown. Nonpleochroic. Isotropy is diagnostic feature, although devitrification may cause low-order birefringence at edges of grains. Moderate relief. May have bubble or pipe vesicles, stretching textures, cuspate to lunate bubble wall shards with sharp edges. May be disseminated throughout other sediment or occur in pure layers.  Tephra may also contain crystalline grains from the same eruption or reworked material.  ","Isotropic Vesicular","bubbles shards sharp ash","Plane-Polarized Light"
"Orthopyroxene","Mineral","YELL2-FD-2-9-18.7CM_OPX_PP_63X.jpg","YELL2-FD-2-9-18.7CM_OPX_PP_63X.jpg","YELL2-FD-2-9-18.7CM_OPX_PP_63X-600.jpg","YELL2-FD-2-9-18.7CM_OPX_PP_63X-200s.jpg","FD2","Yellowstone","63.0","vivid orange in color in this case",\N,"9.0","Val Stanley","1992",\N,\N,\N,"orange pleochroic cleavage silicate pyroxene","Transparent colorless to green or brown. May be pleochroic from pale red to greenish (hypersthene).  Low birefringence. Appear as stubby prisms and subhedral to anhedral crystals. Near-90 degree perfect cleavage. Moderately high relief.","Subhedral","Ferromagnesian pleochroic silicate transparent brown green good-cleavage moderately-high-relief","Plane-Polarized Light"
"Orthopyroxene","Mineral","YELL2-FD-2-9_18.7CM_CP_63X_OPX.jpg","YELL2-FD-2-9_18.7CM_CP_63X_OPX.jpg","YELL2-FD-2-9_18.7CM_CP_63X_OPX-600.jpg","YELL2-FD-2-9_18.7CM_CP_63X_OPX-200s.jpg","FD2","Yellowstone","63.0",\N,\N,"9.0","Val Stanley","1992",\N,\N,\N,"cleavage moderately birefringent silicate pyroxene","Transparent colorless to green or brown. May be pleochroic from pale red to greenish (hypersthene).  Low birefringence. Appear as stubby prisms and subhedral to anhedral crystals. Near-90 degree perfect cleavage. Moderately high relief.","Subhedral","Ferromagnesian pleochroic silicate transparent brown green good-cleavage moderately-high-relief","Cross-Polarized Light"
"Clinopyroxene","Mineral","YELL2-FD2-9 106.7 cm xpl.jpg","YELL2-FD2-9_106.7_cm_xpl.jpg","YELL2-FD2-9_106.7_cm_xpl-600.jpg","YELL2-FD2-9_106.7_cm_xpl-200s.jpg","FD2","Yellowstone","63.0",\N,\N,"9.0","Val Stanley","1992",\N,\N,\N,"weakly-pleochroic cleavage silicate pyroxene","Transparent colorless to green or brown. May be pleochroic from yellow to green, depending on mineralogy.  Moderate birefringence. Appear as stubby prisms and subhedral to anhedral crystals. Near-90 degree perfect cleavage. Moderately high relief.","Subhedral near-90-degree-perfect-cleavage","ferromagnesian silicate transparent green brown pleochroic moderately-high-relief","Cross-Polarized Light"
"Amphibole","Mineral","YELL2-FD2-9-106.7CM-AMPH-CP-63X.jpg","YELL2-FD2-9-106.7CM-AMPH-CP-63X.jpg","YELL2-FD2-9-106.7CM-AMPH-CP-63X-600.jpg","YELL2-FD2-9-106.7CM-AMPH-CP-63X-200s.jpg","FD2","Yellowstone","63.0","Classic amphibole with green-to-brown pleochroism, moderate birefringence, low extinction angle",\N,"9.0","Val Stanley","1992",\N,\N,\N,"moderately-birefringent cleavage","Transparent colorless to green, brown, red, yellow, depending on mineralogy within the amphibole group.  Strongly pleochroic. Moderate birefringence may be masked by color. Anhedral to euhedral prismatic grains. High relief. Hornblende-series minerals the most common detrital amphiboles.","Pleochroic Subhedral Prismatic","ferromagnesian high-relief green silicate transparent green","Cross-Polarized Light"
"Tephra","Lithofacies","YELL2-FD2-9-106.7CM-GREEN_VOLX.jpg","YELL2-FD2-9-106.7CM-GREEN_VOLX.jpg","YELL2-FD2-9-106.7CM-GREEN_VOLX-600.jpg","YELL2-FD2-9-106.7CM-GREEN_VOLX-200s.jpg","FD2","Yellowstone","40.0",\N,\N,"9.0","Val Stanley","1992",\N,\N,\N,"green vesicular","Tephra, or volcanic ash, is a mixture of volcanic glass and crystalline grains derived from the same volcanic source.  A tephra unit in a core may be predominantly crystalline and coarse-grained at the base, grading upwards to finer, more glassy grains.  See volcanic glass for a detailed description and identification; crystalline components can be identified based on their optical mineralogical characteristics.","isotropic","volcanic-glass","Plane-Polarized Light"
"Tephra","Lithofacies","YELL2-FD2-9-106.7CM_GREEN_VOLX_CP_40X.jpg","YELL2-FD2-9-106.7CM_GREEN_VOLX_CP_40X.jpg","YELL2-FD2-9-106.7CM_GREEN_VOLX_CP_40X-600.jpg","YELL2-FD2-9-106.7CM_GREEN_VOLX_CP_40X-200s.jpg","FD2","Yellowstone","40.0","Highly vesicular volcanic shard",\N,"9.0","Val Stanley","1992",\N,\N,\N,"vesicular","Tephra, or volcanic ash, is a mixture of volcanic glass and crystalline grains derived from the same volcanic source.  A tephra unit in a core may be predominantly crystalline and coarse-grained at the base, grading upwards to finer, more glassy grains.  See volcanic glass for a detailed description and identification; crystalline components can be identified based on their optical mineralogical characteristics.","isotropic","volcanic-glass","Cross-Polarized Light"
"Volcanic Glass","Mineral","YELL2-FD2-9_106.7CM_63X_GLASS_INCLUSIONS.jpg","YELL2-FD2-9_106.7CM_63X_GLASS_INCLUSIONS.jpg","YELL2-FD2-9_106.7CM_63X_GLASS_INCLUSIONS-600.jpg","YELL2-FD2-9_106.7CM_63X_GLASS_INCLUSIONS-200s.jpg","FD2","Yellowstone","63.0","Note aligned mineral inclusions",\N,"9.0","Val Stanley","1992",\N,\N,\N,"mineral-inclusions","Transparent colorless to pale gray, green, or brown. Nonpleochroic. Isotropy is diagnostic feature, although devitrification may cause low-order birefringence at edges of grains. Moderate relief. May have bubble or pipe vesicles, stretching textures, cuspate to lunate bubble wall shards with sharp edges. May be disseminated throughout other sediment or occur in pure layers.  Tephra may also contain crystalline grains from the same eruption or reworked material.  ","Isotropic Vesicular","bubbles shards sharp ash","Plane-Polarized Light"
"Volcanic Glass","Mineral","YELL2-FD2-9_106.7CM_GLASS_BUBBLES_63X_PP.jpg","YELL2-FD2-9_106.7CM_GLASS_BUBBLES_63X_PP.jpg","YELL2-FD2-9_106.7CM_GLASS_BUBBLES_63X_PP-600.jpg","YELL2-FD2-9_106.7CM_GLASS_BUBBLES_63X_PP-200s.jpg","FD2","Yellowstone","63.0","volcanic glass shard with bubble junctions still intact",\N,"9.0","Val Stanley","1992",\N,\N,\N,"vesicular volcanic","Transparent colorless to pale gray, green, or brown. Nonpleochroic. Isotropy is diagnostic feature, although devitrification may cause low-order birefringence at edges of grains. Moderate relief. May have bubble or pipe vesicles, stretching textures, cuspate to lunate bubble wall shards with sharp edges. May be disseminated throughout other sediment or occur in pure layers.  Tephra may also contain crystalline grains from the same eruption or reworked material.  ","Isotropic Vesicular","bubbles shards sharp ash","Plane-Polarized Light"
